"id","nom","adresse","ville","code_insee","annee","semaine","mjo","longitude","latitude","geom"
VEL039,Mons En Baroeul - Av. E.Zola,Mons En Baroeul - Av. E.Zola,MONS-EN-BARŒUL,59410,2014,02,195.0000000000,3.0972464549,50.6420221093,POINT (3.097246454855603 50.64202214880112)
VEL001,Armentières - Bd. Faidherbe,Armentières - Bd. Faidherbe,ARMENTIERES,59017,2014,03,66.0000000000,2.8743139830,50.6815700001,POINT (2.8743139829589266 50.68157003961674)
VEL002,Bondues - Chemin St Georges,Bondues - Chemin St Georges,BONDUES,59090,2014,03,33.0000000000,3.0838999907,50.7030370001,POINT (3.0838999906563456 50.703037039608034)
VEL003,Capinghem - Rue Poincaré,Capinghem - Rue Poincaré,CAPINGHEM,59128,2014,03,19.0000000000,2.9605669891,50.6461199981,POINT (2.9605669891319155 50.64612003764041)
VEL004,Comines - Rue des Processions,Comines - Rue des Processions,COMINES,59152,2014,03,133.0000000000,3.0102939927,50.7610359925,POINT (3.0102939927348586 50.761036031954305)
VEL005,Croix - Avenue Flandres,Croix - Avenue Flandres,CROIX,59163,2014,03,113.0000000000,3.1522650086,50.6682969915,POINT (3.1522650085823436 50.66829703096178)
VEL006,Fretin - RD145,Fretin - RD145,FRETIN,59256,2014,03,24.0000000000,3.1182150044,50.5750699934,POINT (3.118215004423419 50.57507003295882)
VEL007,Haubourdin - Rue Carnot,Haubourdin - Rue Carnot,HAUBOURDIN,59286,2014,03,109.0000000000,2.9893956226,50.6114153998,POINT (2.9893956225895835 50.61141543935105)
VEL008,Herlies - Chemin du cap. Boyle,Herlies - Chemin du cap. Boyle,HERLIES,59303,2014,03,15.0000000000,2.8570533406,50.5706699962,POINT (2.8570533405803977 50.57067003575296)
VEL012,Lille - Av. Le Corbusier,Lille - Av. Le Corbusier,LILLE,59350,2014,03,865.0000000000,3.0736255836,50.6386199959,POINT (3.073625583618273 50.63862003542886)
VEL014,Lille - Grand Boulevard,Lille - Grand Boulevard,LILLE,59350,2014,03,425.0000000000,3.0874738899,50.6560629933,POINT (3.087473889889443 50.6560630327743)
VEL016,Lomme - Av. de Dunkerque,Lomme - Av. de Dunkerque,LOMME,59355,2014,03,132.0000000000,3.0175309961,50.6416099911,POINT (3.017530996101265 50.64161003057975)
VEL017,Roncq - Rue de Lille,Roncq - Rue de Lille,RONCQ,59508,2014,03,45.0000000000,3.1212108037,50.7637500101,POINT (3.1212108037122457 50.7637500495689)
VEL018,Roubaix - Av. des Nations Unies,Roubaix - Av. des Nations Unies,ROUBAIX,59512,2014,03,59.0000000000,3.1753529868,50.6941529966,POINT (3.1753529867730195 50.69415303604065)
VEL019,Roubaix - Av. G.Delory,Roubaix - Av. G.Delory,ROUBAIX,59512,2014,03,50.0000000000,3.1852410169,50.6703200047,POINT (3.1852410168575203 50.67032004424426)
VEL021,Seclin - Rue de Bouvry,Seclin - Rue de Bouvry,SECLIN,59560,2014,03,86.0000000000,3.0233229929,50.5440799998,POINT (3.0233229928910497 50.54408003936171)
VEL022,Tourcoing - Av. Allende,Tourcoing - Av. Allende,TOURCOING,59599,2014,03,65.0000000000,3.1641883317,50.7219299923,POINT (3.1641883316640307 50.721930031717555)
VEL023,Tourcoing - Rue de Roubaix,Tourcoing - Rue de Roubaix,TOURCOING,59599,2014,03,74.0000000000,3.1643330034,50.7147670066,POINT (3.1643330034323345 50.71476704603992)
VEL024,Villeneuve d Ascq - Bd Van Gogh,Villeneuve d Ascq - Bd Van Gogh,VILLENEUVE-D ASCQ,,2014,03,23.0000000000,3.1311889983,50.6213459892,POINT (3.131188998267782 50.621346028721256)
VEL027,Wambrechies - Rue de Quesnoy,Wambrechies - Rue de Quesnoy,WAMBRECHIES,59636,2014,03,20.0000000000,3.0371420051,50.6954999885,POINT (3.0371420050532105 50.69550002800665)
VEL028,Lille - Rue Pierre Legrand,Lille - Rue Pierre Legrand,LILLE,59350,2014,03,610.0000000000,3.0823796000,50.6326899991,POINT (3.082379600000004 50.63269003860525)
VEL039,Mons En Baroeul - Av. E.Zola,Mons En Baroeul - Av. E.Zola,MONS-EN-BARŒUL,59410,2014,03,143.0000000000,3.0972464549,50.6420221093,POINT (3.097246454855603 50.64202214880112)
VEL001,Armentières - Bd. Faidherbe,Armentières - Bd. Faidherbe,ARMENTIERES,59017,2014,04,74.0000000000,2.8743139830,50.6815700001,POINT (2.8743139829589266 50.68157003961674)
VEL002,Bondues - Chemin St Georges,Bondues - Chemin St Georges,BONDUES,59090,2014,04,44.0000000000,3.0838999907,50.7030370001,POINT (3.0838999906563456 50.703037039608034)
VEL003,Capinghem - Rue Poincaré,Capinghem - Rue Poincaré,CAPINGHEM,59128,2014,04,28.0000000000,2.9605669891,50.6461199981,POINT (2.9605669891319155 50.64612003764041)
VEL004,Comines - Rue des Processions,Comines - Rue des Processions,COMINES,59152,2014,04,147.0000000000,3.0102939927,50.7610359925,POINT (3.0102939927348586 50.761036031954305)
