id,code_insee,mjo,annee_semaine
VEL039,59410.0,245.0,2014_12
VEL001,59017.0,85.0,2014_13
VEL002,59090.0,68.0,2014_13
VEL003,59128.0,51.0,2014_13
VEL004,59152.0,187.0,2014_13
VEL005,59163.0,218.0,2014_13
VEL006,59256.0,59.0,2014_13
VEL007,59286.0,160.0,2014_13
VEL008,59303.0,30.0,2014_13
VEL012,59350.0,1211.0,2014_13
VEL014,59350.0,760.0,2014_13
VEL016,59355.0,226.0,2014_13
VEL017,59508.0,93.0,2014_13
VEL018,59512.0,100.0,2014_13
VEL019,59512.0,84.0,2014_13
VEL021,59560.0,117.0,2014_13
VEL022,59599.0,98.0,2014_13
VEL023,59599.0,117.0,2014_13
VEL024,59009.0,38.0,2014_13
VEL027,59636.0,50.0,2014_13
VEL028,59350.0,939.0,2014_13
VEL039,59410.0,246.0,2014_13
VEL001,59017.0,97.0,2014_14
VEL002,59090.0,115.0,2014_14
VEL003,59128.0,55.0,2014_14
VEL004,59152.0,232.0,2014_14
VEL005,59163.0,322.0,2014_14
VEL006,59256.0,85.0,2014_14
VEL007,59286.0,195.0,2014_14
VEL008,59303.0,44.0,2014_14
VEL012,59350.0,1368.0,2014_14
VEL014,59350.0,960.0,2014_14
VEL016,59355.0,290.0,2014_14
VEL017,59508.0,128.0,2014_14
VEL018,59512.0,113.0,2014_14
VEL019,59512.0,103.0,2014_14
VEL021,59560.0,160.0,2014_14
VEL022,59599.0,109.0,2014_14
VEL023,59599.0,134.0,2014_14
VEL024,59009.0,51.0,2014_14
VEL027,59636.0,67.0,2014_14
VEL028,59350.0,697.0,2014_14
VEL039,59410.0,302.0,2014_14
VEL001,59017.0,102.0,2014_15
VEL002,59090.0,89.0,2014_15
VEL003,59128.0,49.0,2014_15
VEL004,59152.0,199.0,2014_15
VEL005,59163.0,298.0,2014_15
VEL006,59256.0,94.0,2014_15
VEL007,59286.0,168.0,2014_15
VEL008,59303.0,34.0,2014_15
VEL012,59350.0,1294.0,2014_15
VEL014,59350.0,907.0,2014_15
VEL016,59355.0,274.0,2014_15
VEL017,59508.0,111.0,2014_15
VEL018,59512.0,127.0,2014_15
VEL019,59512.0,117.0,2014_15
VEL021,59560.0,131.0,2014_15
VEL022,59599.0,110.0,2014_15
VEL023,59599.0,126.0,2014_15
VEL024,59009.0,58.0,2014_15
VEL027,59636.0,60.0,2014_15
VEL028,59350.0,599.0,2014_15
VEL039,59410.0,272.0,2014_15
VEL001,59017.0,97.0,2014_16
VEL002,59090.0,100.0,2014_16
VEL003,59128.0,48.0,2014_16
VEL004,59152.0,208.0,2014_16
VEL005,59163.0,266.0,2014_16
VEL006,59256.0,92.0,2014_16
VEL007,59286.0,174.0,2014_16
VEL008,59303.0,34.0,2014_16
VEL012,59350.0,1272.0,2014_16
VEL014,59350.0,874.0,2014_16
VEL016,59355.0,265.0,2014_16
VEL017,59508.0,130.0,2014_16
VEL018,59512.0,107.0,2014_16
VEL019,59512.0,104.0,2014_16
VEL021,59560.0,136.0,2014_16
VEL022,59599.0,110.0,2014_16
VEL023,59599.0,118.0,2014_16
VEL024,59009.0,46.0,2014_16
VEL027,59636.0,62.0,2014_16
VEL028,59350.0,1002.0,2014_16
VEL039,59410.0,285.0,2014_16
VEL002,59090.0,108.0,2014_17
VEL004,59152.0,224.0,2014_17
VEL005,59163.0,240.0,2014_17
VEL006,59256.0,86.0,2014_17
VEL008,59303.0,48.0,2014_17
VEL028,59350.0,925.0,2014_17
VEL039,59410.0,187.0,2014_17
VEL002,59090.0,93.0,2014_18
VEL004,59152.0,208.0,2014_18
VEL005,59163.0,268.0,2014_18
VEL006,59256.0,75.0,2014_18
VEL008,59303.0,53.0,2014_18
VEL028,59350.0,1135.0,2014_18
VEL039,59410.0,202.0,2014_18
VEL001,59017.0,83.0,2014_19
VEL002,59090.0,81.0,2014_19
VEL003,59128.0,42.0,2014_19
VEL004,59152.0,165.0,2014_19
VEL005,59163.0,184.0,2014_19
VEL006,59256.0,55.0,2014_19
VEL007,59286.0,126.0,2014_19
